Symbol,Time,Open,High,Low,Close,Volume,Wap,Count
MNQ,2021-04-07T22:00:00Z,13621.75,13626,13619,13625.5,79,13623.4,49
MNQ,2021-04-07T22:00:05Z,13624.75,13626.25,13624.5,13624.5,28,13625.5,20
MNQ,2021-04-07T22:00:10Z,13625.75,13626,13622.25,13622.75,23,13624,17
MNQ,2021-04-07T22:00:15Z,13623,13624.75,13622.25,13624.75,14,13623.225,11
MNQ,2021-04-07T22:00:20Z,13625.5,13625.75,13625.5,13625.75,4,13625.575,2
MNQ,2021-04-07T22:00:25Z,13625.75,13627.25,13625.75,13627.25,20,13626.8,7
MNQ,2021-04-07T22:00:30Z,13627.25,13627.75,13626.25,13626.25,16,13627.025,12
MNQ,2021-04-07T22:00:35Z,13626,13626.25,13625.75,13625.75,8,13625.975,5
MNQ,2021-04-07T22:00:40Z,13625.25,13626.75,13625.25,13626.75,4,13625.875,3
MNQ,2021-04-07T22:00:45Z,13627.25,13627.25,13626,13627.25,9,13626.85,6
MNQ,2021-04-07T22:00:50Z,13627.5,13627.75,13626.75,13626.75,9,13627.3,7
MNQ,2021-04-07T22:00:55Z,13626.75,13626.75,13625.75,13626.75,9,13626.175,5
MNQ,2021-04-07T22:01:00Z,13627.75,13629,13626.75,13627.5,39,13627.975,24
MNQ,2021-04-07T22:01:05Z,13626.75,13626.75,13626,13626.75,7,13626.65,5
MNQ,2021-04-07T22:01:10Z,13625.75,13626.25,13625.75,13626.25,2,13626,2
MNQ,2021-04-07T22:01:15Z,13626.75,13627,13626.75,13627,11,13626.925,3
MNQ,2021-04-07T22:01:20Z,13626,13626.75,13626,13626.25,3,13626.325,3
MNQ,2021-04-07T22:01:25Z,13625.25,13625.25,13625.25,13625.25,6,13625.25,3
MNQ,2021-04-07T22:01:30Z,13625.75,13626.75,13625.25,13626.75,6,13625.95,5
MNQ,2021-04-07T22:01:35Z,13626.5,13626.75,13625,13626,9,13625.725,7
MNQ,2021-04-07T22:01:40Z,13624.75,13626.75,13624.75,13626,9,13625.675,8
MNQ,2021-04-07T22:01:45Z,13627,13627.25,13627,13627.25,6,13627.125,3
MNQ,2021-04-07T22:01:50Z,13627.5,13628,13627,13628,11,13627.65,6
MNQ,2021-04-07T22:01:55Z,13627,13627.25,13626.25,13626.25,15,13626.975,10
MNQ,2021-04-07T22:02:00Z,13627,13627.5,13625.75,13626.25,7,13626.75,7
MNQ,2021-04-07T22:02:05Z,13626.25,13626.25,13626.25,13626.25,4,13626.25,2
MNQ,2021-04-07T22:02:10Z,13626,13626.75,13626,13626.75,3,13626.5,3
MNQ,2021-04-07T22:02:15Z,13626.25,13626.25,13625.75,13625.75,8,13626.15,4
MNQ,2021-04-07T22:02:20Z,13625.5,13625.5,13625.5,13625.5,2,13625.5,1
MNQ,2021-04-07T22:02:25Z,13625.5,13625.5,13625.5,13625.5,0,13625.5,0
MNQ,2021-04-07T22:02:30Z,13626,13626.25,13626,13626.25,2,13626.125,2
MNQ,2021-04-07T22:02:35Z,13625.25,13625.5,13624.75,13624.75,4,13625.075,3
MNQ,2021-04-07T22:02:40Z,13624.75,13624.75,13624.25,13624.25,10,13624.35,5
MNQ,2021-04-07T22:02:45Z,13624,13624,13622.5,13623.75,20,13623.075,17
MNQ,2021-04-07T22:02:50Z,13623.5,13623.5,13623,13623,2,13623.25,2
MNQ,2021-04-07T22:02:55Z,13622.5,13623.75,13622.5,13623.75,2,13623.125,2
MNQ,2021-04-07T22:03:00Z,13622.75,13623.5,13622.75,13623.5,2,13623.125,2
MNQ,2021-04-07T22:03:05Z,13623.5,13624.75,13623.5,13623.75,16,13624.075,10
